EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,StockOptionLevel,Attrition
EMP0001,58,Female,Single,Sales,Manager,Medical,2,4367,19,34,2,34,9,17,No,1,1,1,3,0,1,Yes
EMP0002,46,Male,Divorced,Research & Development,Research Scientist,Technical Degree,3,10114,15,9,6,28,5,12,No,3,1,1,3,4,0,No
EMP0003,42,Female,Divorced,Sales,Sales Representative,Medical,1,2510,16,14,9,13,5,21,No,2,1,4,3,1,2,No
EMP0004,59,Male,Divorced,Sales,Manager,Other,2,6363,15,29,12,13,5,2,Yes,2,3,1,3,3,0,No
EMP0005,54,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,4,16044,12,9,8,7,8,5,Yes,3,4,4,3,3,0,Yes
EMP0006,28,Male,Married,Research & Development,Research Director,Technical Degree,5,16346,17,33,8,10,1,11,No,1,1,3,3,2,1,Yes
EMP0007,34,Male,Divorced,Human Resources,Human Resources,Marketing,5,7526,11,9,9,16,4,12,No,1,3,4,3,1,1,No
EMP0008,23,Male,Single,Research & Development,Research Scientist,Other,4,19024,25,10,8,5,5,13,No,4,2,2,3,3,3,Yes
EMP0009,22,Male,Single,Research & Development,Laboratory Technician,Life Sciences,1,8510,22,4,1,4,8,7,No,1,2,3,3,1,3,No
EMP0010,44,Female,Married,Sales,Sales Executive,Technical Degree,4,16312,17,3,3,17,7,18,Yes,3,1,2,3,1,1,Yes
EMP0011,22,Male,Divorced,Research & Development,Research Scientist,Human Resources,1,4065,17,15,5,4,6,6,No,4,2,4,4,0,2,No
EMP0012,53,Male,Single,Research & Development,Research Director,Marketing,2,2925,11,37,17,11,8,17,Yes,3,1,1,3,1,0,Yes
EMP0013,22,Female,Single,Research & Development,Laboratory Technician,Human Resources,2,19979,15,38,1,4,5,23,No,4,3,3,3,1,3,No
EMP0014,37,Male,Married,Research & Development,Research Scientist,Human Resources,5,4285,15,4,4,19,3,29,Yes,3,2,3,4,2,1,No
EMP0015,37,Female,Divorced,Research & Development,Research Scientist,Life Sciences,2,9675,21,7,3,19,5,23,No,2,3,3,3,1,2,No
EMP0016,21,Female,Single,Sales,Sales Representative,Life Sciences,3,5295,11,40,8,3,2,29,Yes,4,4,1,3,4,2,Yes
EMP0017,45,Female,Single,Sales,Sales Representative,Marketing,2,9185,11,6,6,21,2,26,No,4,2,2,4,3,1,No
EMP0018,44,Female,Single,Research & Development,Laboratory Technician,Other,1,13544,11,2,2,25,3,28,Yes,4,3,3,3,1,1,Yes
EMP0019,22,Female,Divorced,Human Resources,HR Manager,Human Resources,4,18579,22,21,0,4,6,20,Yes,3,2,3,3,2,2,No
EMP0020,50,Male,Married,Sales,Manager,Life Sciences,4,1064,16,33,17,19,5,22,No,2,3,4,3,4,0,No
